quarter,sector,share_of_universe,share_of_top_decile,gap
2023Q3,Construction Materials,0.021621621621621623,0.0,-0.021621621621621623
2023Q3,Services,0.021621621621621623,0.03636363636363636,0.014742014742014739
2023Q3,Telecommunication,0.021621621621621623,0.03636363636363636,0.014742014742014739
2023Q3,Construction,0.010810810810810811,0.07272727272727272,0.06191646191646191
2023Q3,Textiles,0.005405405405405406,0.0,-0.005405405405405406
2023Q4,Financial Services,0.2281021897810219,0.4444444444444444,0.21634225466342252
2023Q4,Capital Goods,0.10218978102189781,0.18518518518518517,0.08299540416328736
2023Q4,Healthcare,0.08211678832116788,0.0,-0.08211678832116788
2023Q4,Fast Moving Consumer Goods,0.07664233576642336,0.0,-0.07664233576642336
2023Q4,Automobile and Auto Components,0.06934306569343066,0.0,-0.06934306569343066
2023Q4,Information Technology,0.06569343065693431,0.0,-0.06569343065693431
2023Q4,Metals & Mining,0.05474452554744526,0.037037037037037035,-0.017707488510408223
2023Q4,Oil Gas & Consumable Fuels,0.04927007299270073,0.0,-0.04927007299270073
2023Q4,Consumer Services,0.043795620437956206,0.018518518518518517,-0.02527710191943769
2023Q4,Power,0.043795620437956206,0.05555555555555555,0.011759935117599346
2023Q4,Consumer Durables,0.0364963503649635,0.037037037037037035,0.0005406866720735343
2023Q4,Realty,0.032846715328467155,0.05555555555555555,0.022708840227088398
2023Q4,Chemicals,0.032846715328467155,0.037037037037037035,0.00419032170856988
2023Q4,Services,0.021897810218978103,0.018518518518518517,-0.0033792917004595857
2023Q4,Construction Materials,0.021897810218978103,0.0,-0.021897810218978103
2023Q4,Telecommunication,0.021897810218978103,0.05555555555555555,0.03365774533657745
2023Q4,Construction,0.010948905109489052,0.05555555555555555,0.0446066504460665
2023Q4,Textiles,0.005474452554744526,0.0,-0.005474452554744526
2024Q1,Financial Services,0.2323049001814882,0.23636363636363636,0.004058736182148165
2024Q1,Capital Goods,0.10163339382940109,0.2545454545454545,0.15291206071605343
2024Q1,Healthcare,0.08166969147005444,0.0,-0.08166969147005444
2024Q1,Fast Moving Consumer Goods,0.07622504537205081,0.0,-0.07622504537205081
2024Q1,Automobile and Auto Components,0.07078039927404718,0.03636363636363636,-0.03441676291041082
2024Q1,Information Technology,0.06533575317604355,0.01818181818181818,-0.04715393499422537
2024Q1,Metals & Mining,0.0544464609800363,0.01818181818181818,-0.036264642798218116
2024Q1,Oil Gas & Consumable Fuels,0.047186932849364795,0.2,0.15281306715063522
2024Q1,Consumer Services,0.043557168784029036,0.01818181818181818,-0.025375350602210855
2024Q1,Power,0.043557168784029036,0.14545454545454545,0.1018973766705164
2024Q1,Consumer Durables,0.038112522686025406,0.01818181818181818,-0.019930704504207225
2024Q1,Chemicals,0.032667876588021776,0.0,-0.032667876588021776
2024Q1,Realty,0.032667876588021776,0.01818181818181818,-0.014486058406203595
2024Q1,Services,0.021778584392014518,0.0,-0.021778584392014518
